playlist_id,playlist_name,track_id,track_title,track_composer,work_match,composer_match
0K7eJJa4mjtkp8pcBhvtpR,Need to Know: Vivaldi,0suZl5eDdKGdYtIPGcalbW,"The Four Seasons, Violin Concerto in E Major, Op. 8 No. 1, RV 269 'Spring': I. Allegro",Antonio Vivaldi,http://data.doremus.org/expression/6dd59267-fef0-392d-911f-7abbe676e289,http://data.doremus.org/artist/b34f92ab-ad86-361b-a8b8-5c3a4db784d0
0K7eJJa4mjtkp8pcBhvtpR,Need to Know: Vivaldi,28eGz1CYshKhy4Fl1ZNvR5,"The Four Seasons, Violin Concerto in E Major, Op. 8 No. 1, RV 269 'Spring': II. Largo e pianissimo sempre",Antonio Vivaldi,http://data.doremus.org/expression/6dd59267-fef0-392d-911f-7abbe676e289,http://data.doremus.org/artist/b34f92ab-ad86-361b-a8b8-5c3a4db784d0
0K7eJJa4mjtkp8pcBhvtpR,Need to Know: Vivaldi,00u769OWkzjn9pyjrfEA0M,"The Four Seasons, Violin Concerto in E Major, Op. 8 No. 1, RV 269 'Spring': III. Danza pastorale: Allegro",Antonio Vivaldi,http://data.doremus.org/expression/6dd59267-fef0-392d-911f-7abbe676e289,http://data.doremus.org/artist/b34f92ab-ad86-361b-a8b8-5c3a4db784d0
0K7eJJa4mjtkp8pcBhvtpR,Need to Know: Vivaldi,6gplt0FgSN5e0dSiL91VbG,"The Four Seasons, Violin Concerto in G Minor, Op. 8 No. 2, RV 315 'Summer': I. Allegro non moto",Antonio Vivaldi,http://data.doremus.org/expression/6dd59267-fef0-392d-911f-7abbe676e289,http://data.doremus.org/artist/b34f92ab-ad86-361b-a8b8-5c3a4db784d0
0K7eJJa4mjtkp8pcBhvtpR,Need to Know: Vivaldi,7GHO2gvz28261Fc4JGsjIH,"The Four Seasons, Violin Concerto in G Minor, Op. 8 No. 2, RV 315 'Summer': II. Adagio - Presto",Antonio Vivaldi,http://data.doremus.org/expression/6dd59267-fef0-392d-911f-7abbe676e289,http://data.doremus.org/artist/b34f92ab-ad86-361b-a8b8-5c3a4db784d0
0K7eJJa4mjtkp8pcBhvtpR,Need to Know: Vivaldi,3Pqo37jriZSqJrvXt9kqhP,"The Four Seasons, Violin Concerto in G Minor, Op. 8 No. 2, RV 315 'Summer': III. Presto",Antonio Vivaldi,http://data.doremus.org/expression/6dd59267-fef0-392d-911f-7abbe676e289,http://data.doremus.org/artist/b34f92ab-ad86-361b-a8b8-5c3a4db784d0
0K7eJJa4mjtkp8pcBhvtpR,Need to Know: Vivaldi,5UHYYidygEXaTDuQ9AwAtZ,"The Four Seasons, Violin Concerto in F Major, Op. 8 No. 3, RV 293 'Autumn': I. Allegro",Antonio Vivaldi,http://data.doremus.org/expression/6dd59267-fef0-392d-911f-7abbe676e289,http://data.doremus.org/artist/b34f92ab-ad86-361b-a8b8-5c3a4db784d0
0K7eJJa4mjtkp8pcBhvtpR,Need to Know: Vivaldi,5Dc1PsYIhdEAZX1yxUKukc,"The Four Seasons, Violin Concerto in F Major, Op. 8 No. 3, RV 293 'Autumn': II. Adagio molto",Antonio Vivaldi,http://data.doremus.org/expression/6dd59267-fef0-392d-911f-7abbe676e289,http://data.doremus.org/artist/b34f92ab-ad86-361b-a8b8-5c3a4db784d0
0K7eJJa4mjtkp8pcBhvtpR,Need to Know: Vivaldi,2KDxuGW4dyoQUx0PYaB9rd,"The Four Seasons, Violin Concerto in F Major, Op. 8 No. 3, RV 293 'Autumn': III. Allegro",Antonio Vivaldi,http://data.doremus.org/expression/6dd59267-fef0-392d-911f-7abbe676e289,http://data.doremus.org/artist/b34f92ab-ad86-361b-a8b8-5c3a4db784d0
0K7eJJa4mjtkp8pcBhvtpR,Need to Know: Vivaldi,02m1toGfk1rWOVeALpqR6p,"The Four Seasons, Violin Concerto in F Minor, Op. 8 No. 4, RV 297 'Winter': I. Allegro non molto",Antonio Vivaldi,http://data.doremus.org/expression/6dd59267-fef0-392d-911f-7abbe676e289,http://data.doremus.org/artist/b34f92ab-ad86-361b-a8b8-5c3a4db784d0
0K7eJJa4mjtkp8pcBhvtpR,Need to Know: Vivaldi,5X25Pj5a9oQFgXTIyYTBs8,"The Four Seasons, Violin Concerto in F Minor, Op. 8 No. 4, RV 297 'Winter': II. Largo",Antonio Vivaldi,http://data.doremus.org/expression/6dd59267-fef0-392d-911f-7abbe676e289,http://data.doremus.org/artist/b34f92ab-ad86-361b-a8b8-5c3a4db784d0
0K7eJJa4mjtkp8pcBhvtpR,Need to Know: Vivaldi,2w7k5WlYL9rUm8ooHmdric,"The Four Seasons, Violin Concerto in F Minor, Op. 8 No. 4, RV 297 'Winter': III. Allegro",Antonio Vivaldi,http://data.doremus.org/expression/6dd59267-fef0-392d-911f-7abbe676e289,http://data.doremus.org/artist/b34f92ab-ad86-361b-a8b8-5c3a4db784d0
